tweet,text_label
i was  when martin luther king was assassinated  my family was young &amp; i remember along with my wife sitting down,nonbullying
 im sure it can be entertaining to watch but it seems to me its just a bunch of morons beating the sh],nonbullying
this is what happens when you openly listen to bts without prejudice,nonbullying
racism resz()m noun prejudice  discrimination  or antagonism directed against someone of a different race based on,nonbullying
les mineurs taient majeurs dont lun avait  ans   mineurs non accompagns trangers pris en compte par le dparte,nonbullying
many of the irishmen serving in the us army during the mexicanamerican war experienced racism and anticatholic prejudice  a,nonbullying
striving only b first is a worthless objective  ~tl openmind  seek perspective then observe question,nonbullying
really  really disappointed that channel has gone for such appalling class stereotyping on this years theisland  pre,nonbullying
really happy to see more members speaking about antisemitism  admitting that there is an issue and that it is something we can,nonbullying
what an inspiration  still work to do to challenge hate and prejudice in all its forms afightforallofus,nonbullying
where am i stereotyping any gay men  i said i b,nonbullying
ever been called a discriminatory name or racial slur  i have  ever dealt w/ bullying or prejudice due to your race  gen,nonbullying
yes and so do i i care about all prejudice  as,nonbullying
just a reminder about the accentismproj  set up to collect  share and highlight stories of languagebased prejudice  disc,nonbullying
finally  someone calls out the horrible prejudice men have always faced in publishing  oh  wait,nonbullying
travel is fatal to prejudice  bigotry  and narrowmindedness  and many of our people need it sorely on these accounts  broad ,nonbullying
pride and prejudice,nonbullying
before labour can credibly confront the prejudice of others  it must purge itself of bigots  racists and fools  the ns le,nonbullying
its hard to pin it down to one thing there are literally dozens treatment of gold star],nonbullying
realdonaldtrump in the past trump just fired anyone willing to stand up to his bullying now he faces the resistan],nonbullying
dna tests would never be an accurate measurement of iq environment and other factors just as import],nonbullying
attorneys: nebraska death row inmate john lotters iq too low for execution via owhnews,nonbullying
for the low iq this is not a statement justifying the shooter it is just a statement of fact,nonbullying
world average iq is declining because third world has more babies than europe and ne asia low iq immigration has reverse,nonbullying
realdonaldtrump yet again  the needle d**k don babbles about a topic on which he knows nothing but ],nonbullying
east asians have a marginally higher iq than whites  my suggestion is the importance of numerolog],nonbullying
i didnt deliberately misunderstand anything also you dont know],nonbullying
no  its because they have low iq and how gross that you would excuse murdering someone,nonbullying
because their ideology trumps humans it amazes me,nonbullying
you dont want to hear someone speak dont go listen to them its that simple  lef,nonbullying
thanks for reminding me im just a cishetwhitemale,nonbullying
 it says those who have an iq of  or above can see  triangles  i only saw  at first,nonbullying
no  almost all down syndrome people are completely dependent  its also not a little],nonbullying
how does he run away from his cuban heritage  hes very proud of it  just beca,nonbullying
low average iq populations you dont see too much violence among gujarati muslims],nonbullying
 seen new five star hotel built in just less than two yrs,nonbullying
i think you are diminishing the problem by diminishing the people  not: of  members,nonbullying
anyone who says shit about what ainge has done is a low iq individual,nonbullying
surely you know why thats a problem  the low variance captured in gwa iq studies is social class diff,nonbullying
you wouldnt be glorifying saddam if you were a shia or kurd living under him qasim qadiani  comparing us army wit,nonbullying
another low iq tap dancing ball juggler that needs to shut his pie hole  you have no clue on how to run anything bu,nonbullying
 low iq & crime  simple,nonbullying
 nntaleb: ) lowiqarabists trying to smear as racist minorities who dont identify w/arabism clueless: not being an arab doesnt,nonbullying
shelteringwind xeronius theintercept add low iq conspiracy theorist to the mix,nonbullying
i think its time to reclaim feminism from the radicals  those who try to diminish womens achievements by conflat,nonbullying
every element of this is incorrect: women have a higher emotional intelligence: emotional intelligence is respo,nonbullying
if youre a guy who feels the metoo movement is preventing you from flirting  its possible you were never actuall,nonbullying
lizzie mcguire invented feminism and destroyed gender stereotypes in a single episode wow,nonbullying
 this is truly another peakterfmoment as transexclusionary radical feminists (terfs) scrambled to delete all their assert,nonbullying
and she hid hehind feminism for years before admitting she just wanted to be a hoewe really had nothing against h,nonbullying
healtheworldinwords never embrace modern day feminism,nonbullying
this is horrific  and yet horribly familiar  to those of you still asking why we need feminism  this is why,nonbullying
yeah im a gender critical feminist which is a lot like feminism except instead of feminism i bully children who dont conf],nonbullying
my feminism,nonbullying
offset hates for a woman to feel like she needs a man  he kinda invented feminism when you think about it,nonbullying
pshaw  the great majority of feminists are either decievers  or selfdecieved  feminism as a whole is a lying ent,nonbullying
we love this  authentic feminism protects the rights of every woman  including our li,nonbullying
my entire career has been focused on challenging male violence against women  exploitative systems like prostitution  th,nonbullying
my journey through feminism,nonbullying
heres to noisy  opinionated women  may there be more of them  feminism,nonbullying
oh  amp; the s that finally destroyed this appthe s who think they re practising feminism but actually being bitter wi],nonbullying
 maybe her feminism comes from her silence  i think the audience she appeals to is dif,nonbullying
its not about gender  its just about the best person for the jobif someone uses this argument on you  maybe ask th,nonbullying
 tfm  i love your videos  i am a mgtow and i am not arguing with you about the wumens  my point is,nonbullying
artisticfcuk | arts of bst | british summer time  blue sky thoughts | blueplanet clash of the titans (gender equality),nonbullying
go to court for free expression of feminism nearly one month after being censored  feminist voices sued weibo and wechat,nonbullying
tech and media moved to an unholy racist alliance that basically offered up the left and feminism an economy for the pri,nonbullying
this is what a steady diet of feminism,nonbullying
why does the best person for the job always seem to be a straight  white  middleaged  middleclass man  anooshcs t],nonbullying
racism and feminism everywhere,nonbullying
shout out to the amazon reviewer who enjoyed my book but felt there was too much liberalism and feminism in it,nonbullying
shockingly  iran is nd in the world for  of transitions bc homosexuality still carries the d,nonbullying
hey  im now on the editorial board for an awesome new arts magazine: jellyfish (funded by duke university)  if you a w,nonbullying
people always ask me if im a feminist and im really not sure i can say i am  feminism is about wanting equality  im ho,nonbullying
third wave feminism is so bad for women its almost comical,nonbullying
louis didnt decide to add articles that talk about feminism  lgbt  black lives matter  mental health  professional],nonbullying
a good sir is baptized  go forth and argue on the internet  gaming  atheism  feminism  and anime are your domain,nonbullying
if you need retweets  stop recycling fake jokes and just tweet some fake woke stuff praising feminism,nonbullying
nah vat is this tag team feminism ting going on,nonbullying
super excited for the urgency of intersectionality by kimberl crenshaw  therevolutionwillbeintersectional,nonbullying
diageos jane walker whiskey  socially tonedeaf marketing also masquerading as philanthropy],nonbullying
i cant picture dating someone whos not as socially aware as me  yall be dating people with passive notions towards police b,nonbullying
what to say when someone tries to mansplain away the gender pay gap anooshc,nonbullying
heres to noisy  opinionated women  may there be more of them  feminism,nonbullying
a new gospel for women: katharine bushnell and the challenge of christian feminism oupacademic,nonbullying
meg wolitzer explores feminism and friendship in the female persuasion,nonbullying
race  religion and feminism in france:,nonbullying
if it makes u feel any better  im a stupid brai,nonbullying
lecture april   :pm joseph winters between the world and (anti) blackness: coates  afropessimism  and the ruptures,nonbullying
miss white feminism   loki  where,nonbullying
true but then what you are also saying is not feminism  so its repulsive t,nonbullying
if youre a guy who feels the metoo movement is preventing you from flirting  its possible you were never actually flirting,nonbullying
tonights class discussion: gender based racial oppression in black america  the impacts of patriarchy  misandry ,nonbullying
the man in my dp broke porkistan into twohe showed m,nonbullying
is spiros the goatfucker showing the game tonight  avfc,nonbullying
but hes my goatfucker,nonbullying
hes a goatfucker,nonbullying
goatfucker,nonbullying
chris mcdaniels was in as dirty of a race as you could get  the swamp did everything possible to keep senator thad,nonbullying
it is widely acknowledged that erdogan is a goatfucker,nonbullying
if grand architect of the unverse is allowed  than equally the grand goatfucker of the universe is,nonbullying
my remark: tusk  european cheap whore with smelly goatfucker from turkey,nonbullying
get out of my mentions you goatfucker,nonbullying
 we will never bombing or kill in the name of godgoatfucker,nonbullying
the guy who called a sitting supreme court justice a goatfucker and michelle obama a marxist harpy is s,nonbullying
 did phil just say goatfuckers international    :  knowing thats a derogatory term used towa,nonbullying
none of them keep prostitutes and female sex slaves as pedo goatfucker muhamhead did,nonbullying
middle easterners being grouped with white people in the ethnic sections of applications is really funny :))) bc,nonbullying
 i love  love  love that your doughy  cynical  cowardly  poseur  unimaginative  retrograde  fauxchrist,nonbullying
look at the english of this goatfucker  and he works for some us company,nonbullying
i made up goatfucker  but not pigfucker,nonbullying
this photo only proves that israel is peaceful unless they are being attacked direct,nonbullying
the goatfucker who made this book notislamophobic,nonbullying
havent talked to you in ages  feels like i dont even know u anymore  only thing i know about u is tha,nonbullying
i aint do it bro i swear its gdgirlsteph you gotta watch out for  she found out my grandpa f,nonbullying
if they didnt want to be called a goatfucker  they wouldnt photoshop themselves fucking the goat,nonbullying
no  they are not  a goatfucker fucks goats  he doesnt just say he does to gross you out],nonbullying
bluemanc you said hanzo  its genji  im a weebo],nonbullying
i mean  a lot of people look at porn  but its not good to be a weebo  thats just messed up,nonbullying
im just here  going to watch some weebo references on a motherfucking big screen but no i get anything maybe an ev,nonbullying
happy easter  guys  ,nonbullying
i hate otome  its all about call of duty  you all are crazy for liking girly otome games  play a real game  play ca,nonbullying
realdonaldtrump stop yelling,nonbullying
realdonaldtrump ill never be able to call him anything else now],nonbullying
legacy league its this nigga junbay league,nonbullying
yeah smh,nonbullying
head still spinning and i got a game today,nonbullying
 well hello there  : kote,nonbullying
 id like to do this,nonbullying
are you ready for weddings  my little pony: friendship is magic season  episode  something old  something new che,nonbullying
 if i was then you would be the teacher of the ultimate weebo,nonbullying
honest answer: if i can discern a white christian from a murderous kkk white supremacist/nazi terroristyou can dis,nonbullying
youre obviously feeling threatened by corbyn  but you shouldnt worry so much  hell make the country better],nonbullying
 or  april  | alma ros  an austrian violinist of jewish descent  a niece of gustav mahler  died at the germ,nonbullying
hopefully he showed his nazi friends how to build bombs the way he did,nonbullying
 i get some flack about using the terms genocide  holocaust  or naziism when i write about cdas genocidal history tow],nonbullying
andy shares his positive conservative vision with the nazi sympathizers at rebel media  andrewscheer cpchq cdnpoli y,nonbullying
disenfranchised  no  they are protesting to give up rights which is the opposite of disenfra,nonbullying
every potential employer  when they google douglass mackey  should see that hes a nazi  anyone who hires him should be pub,nonbullying
youre obviously feeling threatened by corbyn  but you shouldnt worry so much  hell make the country better for all ,nonbullying
missoula police alerted after nazi propaganda found in easter eggs via missoulian,nonbullying
jakehighwell kequemage virtually every republican running for office for decades has been called a nazi by the l,nonbullying
i find it disturbing when someone says (especially a witness to nazi germany)  says it],nonbullying
this guy  douglass mackey    went to middlebury  son of lobbyist scott mackey  lives in manhattan  hes a nazi with a hug,nonbullying
must say that  pewdiepie is the least altright scumbag there is  but you might hone in your missiles f,nonbullying
whoa whoa whoa  dont call the guy who wants to execute millions of people a nazi,nonbullying
hitler did not enact a gun ban in nazi germany  in fact  it was more of the opposite  how,nonbullying
 in   white supremacists &amp; white supremacist sympathizers will represent republicans on the ballot in arizona  illinois  i,nonbullying
a tale of two people at animematsuri  one had a table in artists alley and posted a sign in support of sexual harassment vic,nonbullying
this will cheer you up:,nonbullying
rakitic has been bossing kroos  times a season for god knows how long now but apparently lucho turning down that overhyp,nonbullying
 the nazi left want to end nd i say civil war    i will die for my rights,nonbullying
theellenshow kamalaharris well  time to boycott your show and your sponsors  it bites but everyone needs to be held to,nonbullying
honestly  there is nothing close to hilarious or funny in this  this is very very sick stuff and should be,nonbullying
 episode four  nazi furries  awesome repeal merch  shanowenshakedown  hear it all (and more) on our latest episode:,nonbullying
its hilarious to see the theatlantic feign objectivity while goose stepping to the nazi hive mind of the left  they al,nonbullying
translation: waaaaaaaah  and also  im blaming the left for the right turning into a nazi playground  yeah  lik,nonbullying
thanks  great info  gfarben used jewish slaves at its factories during the holocaust,nonbullying
normie: heres my dog preston  whenever i get the leash to go out he does this happy dance twitter person: that dog is,nonbullying
why am i such a grammar nazi  if there is one thing to take pride in  its your education,nonbullying
[prince harry launches gruelling expedition across us before meghan markl via youtube i],nonbullying
apparently there was a virtual riot/nazi rally on runescape earlier because jagex (the developer) released an lgbt awaren,nonbullying
a classic article worth reading anew via harpers,nonbullying
free porn vedios online nazi slut fucked,nonbullying
 this woman did not get the nobel peace prize  guess who got it instead of her  al gore  this woman saved   children,nonbullying
dear scott dutcher scottusmc (probably not even your namethats ok  well find out) yeah g],nonbullying
 i actually dont like to ask this because its a negative question but what was the last film you didnt finish and why  mi,nonbullying
hitler had the nazi youth  israel has the hilltop youth,nonbullying
dloesch yeah i mean we are all nazis and fascists and trump is literally hitlerso wouldnt,nonbullying
ricky vaughn:  reached millions of people  normalizing fringe ideas  was cited as one of the most influential figures in,nonbullying
 really alyssamilano  i was called a terrorist  murderer  nazi  etc when i attended las marchforourlives event as a,nonbullying
hey here is a picture of douglass mackey who lives on the upper east side of manhattan  he was just oute,nonbullying
i know who lol he also is kilgrave  and the voice actor for a nazi in nazi zombies cod ww,nonbullying
hmmmmmm lets review  what group violently suppresses free speech if it doesnt fit their rhetoric  riots but ca,nonbullying
when the crazed leftists call us nazis the millions of untapped  normy masses look in our direction  t,nonbullying
realjameswoods obama supports this nazi,nonbullying
 then a few  out of the millions of normys  will say hmmm these dont look like nazi boogy men  these,nonbullying
pentagon gave $ million to porton down (uk) in the last decade for chemical &amp; biological weapons projects    ani,nonbullying
what makes you think i am going away what scum drinks swamp water what scum so used to eating dung doc doc trian nazi,nonbullying
rob reiner says any one who watches the new roseannebarr show is a nazi   lets all give ol rob the anti nazi patriot salut,nonbullying
the internets biggest nazi websites are facing a financial meltdown both stormfronts and the daily stormers days might be],nonbullying
then why the fxck didnt he expel russians a year ago  and  her grandfather was a nazi  something she tried to hide  russian,nonbullying
do you or do you not condone roseanne barrs hitler/naziinspired photo shoot  are you ok with this  not watching abc anymore,nonbullying
 fbi raids home connected to crazed nazi larper jordan jereb  the man who claimed parkland shooter nikolas cruz trained with,nonbullying
neo nazi rally in newman /  thas wild,nonbullying
[im a nonimpulsive  high iq nazi larper  thank you very much],nonbullying
msnbc poll  soros became obamas biggest financial sugar daddy right about time this started to happen],nonbullying
comparing pep guardiola to goebbels is an exceedingly disgusting banalisation of the shoah  goebbels  propaganda minister f,nonbullying
honestly  there is nothing close to hilarious or funny in this  this is very very sick stuff and should,nonbullying
george soros is now trying to eradicate israel identity  george soros was also a member of the nazi youth  now it all m,nonbullying
watching the end of starship troopers  doogie howser has just turned up in full nazi regalia  incredible movie,nonbullying
some families have a skeleton in the closet  we had a nazi flag in the attic,nonbullying
neonazi propaganda found in easter eggs in missoula citizens,nonbullying
neonazi website stormfront close to shutting down as founders wife tires of paying hate sites bills,nonbullying
all jews in nazioccupied czechoslovakia have been ordered to assemble in their synagogues for a census  in fact  germa,nonbullying
police warns metro atlanta community about planned neo nazi rally a live report on this story coming u,nonbullying
i am not a democrat  i am a social liberal  the pepe i hav,nonbullying
this is my baby army irls first comeback and im trying to explain the euphoria teaser by linking her all the mvs cus it,nonbullying
senmajldr is worried  i hope we can hold the senate either way you and lyin ryan,nonbullying
bettyannroyal bellaluna libslady amysiskind oh lord  seek some serious psychiatric help  i have no doubt y,nonbullying
christywebs somedawson parieobrien camilalloyd billboard you are such a rude person  do you come on here j,nonbullying
its painful to watch your significant other fall for another man  especially when hes clearly more talented than you,nonbullying
 fuck off and leave him alone  i suggest u leave spoofers alone,nonbullying
i bought  hot dogs from target cafe  everyone said awe you got a snack for your family im like no bitch these,nonbullying
louis is a platinum recording solo artist  let that sink inare you ok  good  some more news  harry is a platinum selling s,nonbullying
some girls are testin my patience today  im a crazy bitch i will cut you,nonbullying
drama pt  she told me about their issues and then accused me of trying to mess up her relationship   bitch yall,nonbullying
 i hate a i wont beg for you to be in my life ass mf  like bitch  do you know what effort is  trying &amp; begging are comple,nonbullying
fuck you look so good,nonbullying
actual violation when youre stood there on snapchat waiting for the drop to drop and youre too early  fuck sake stop reco,nonbullying
long distance relationships are so hard  like damn you be feeling lonely as fuck but youre not really alone but your boo c,nonbullying
even when you give a fuck you cant give a fuck ,nonbullying
so now she just sent me a snap and it was a asscheek facing the mirror in the bathroom nude  im like finally,nonbullying
you gotta be nice to people no the fuck i dont,nonbullying
if theres one good thing about what og are doing  is theyre bringing eu masters a fuck ton of publicity  which is going],nonbullying
fuck you and your narrow minded,nonbullying
fuck i love you,nonbullying
also  ppl who smoke around kids  fuck you  dumb ass,nonbullying
bruuuuhh i hope one day i can have my dreams pay me instead of working at a fuck as job  bless up to you man,nonbullying
 im not comparing williamson  ingraham  or eriksson to mlk or the dixie chicks  if you believe in you,nonbullying
fuck you coinbase,nonbullying
